# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	20166
#@/user_id	Mac
a 	啊	c=29 d=0.0857962 t=20166
fu kuan 	付款	c=1 d=8.1759e-14 t=20166
fu shu 	負數	c=2 d=0.00012909 t=20166
fu wu 	服務	c=24 d=0.00147134 t=20166
fu wu de 	服務的	c=1 d=3.12401e-19 t=20166
fu wu qi 	服務器	c=2 d=0.0180113 t=20166
fu wu rong liang 	服務容量	c=1 d=4.36792e-21 t=20166
fu wu shang 	服務商	c=1 d=3.66668e-21 t=20166
fu xiang guan 	負相關	c=1 d=2.44601e-23 t=20166
fu yi 	附議	c=1 d=8.1042e-28 t=20166
fu za 	複雜	c=7 d=0.412714 t=20166
fu zai 	浮在	c=0 d=0.0185444 t=20166
fu zai 	負載	c=7 d=1.00429e-10 t=20166
fu zai biao mian 	浮在表面	c=1 d=0.186374 t=20166
fu zhen 	複診	c=1 d=7.85265e-10 t=20166
fu zhi 	複製	c=1 d=6.64102e-09 t=20166
gai 	改	c=5 d=0.0103419 t=20166
gai 	該	c=6 d=0.0226529 t=20166
gai bian 	改變	c=1 d=4.56353e-07 t=20166
gai bu gai 	該不該	c=1 d=0.203926 t=20166
gai di 	蓋地	c=1 d=0.38868 t=20166
gai huan kou wei le 	該換口味了	c=1 d=1.10954e-17 t=20166
gai jin 	改進	c=1 d=2.23244e-07 t=20166
gai le 	改了	c=1 d=2.511e-08 t=20166
gai lv 	概率	c=0 d=3.4153e-10 t=20166
gai nian 	概念	c=11 d=0.000916453 t=20166
gai nian mo hu 	概念模糊	c=1 d=1.48131e-05 t=20166
gai shan 	改善	c=1 d=4.32225e-15 t=20166
gai wan 	改完	c=1 d=1.93974e-30 t=20166
gai xia 	改下	c=1 d=6.74139e-09 t=20166
gai xia 	該下	c=0 d=2.57369e-05 t=20166
gai zao 	改造	c=4 d=1.7172e-06 t=20166
gan 	幹	c=3 d=0.0281559 t=20166
gan cheng 	幹成	c=1 d=0.00697795 t=20166
gan chu 	感觸	c=1 d=0.000297529 t=20166
gan dao 	感到	c=1 d=1.57317e-07 t=20166
gan fan 	乾飯	c=0 d=1.64301e-19 t=20166
gan ge 	幹個	c=0 d=0.00230521 t=20166
gan ge huo 	幹個活	c=1 d=0.0231676 t=20166
gan huo 	幹活	c=2 d=6.81271e-07 t=20166
gan jin 	趕緊	c=1 d=1.18918e-09 t=20166
gan jing 	乾淨	c=2 d=1.31279e-07 t=20166
gan jue 	感覺	c=31 d=1.15402 t=20166
gan le 	幹了	c=1 d=0.0338058 t=20166
gan le dian er 	幹了點兒	c=1 d=0.0261214 t=20166
gan le dian sha 	幹了碘殺	c=1 d=0.0263839 t=20166
gan ma 	幹嘛	c=2 d=0.0267827 t=20166
gan ma qu 	幹嘛去	c=1 d=7.97811e-20 t=20166
gan mao 	感冒	c=1 d=1.67102e-11 t=20166
gan sha 	幹啥	c=1 d=1.53433e-08 t=20166
gan shen me 	幹什麼	c=0 d=4.47316e-08 t=20166
gan shen me a 	幹什麼啊	c=1 d=1.66784e-18 t=20166
gan shou 	感受	c=3 d=0.00759701 t=20166
gan wan 	幹完	c=0 d=6.72742e-15 t=20166
gan wan la 	幹完啦	c=1 d=6.76114e-14 t=20166
gang 	剛	c=4 d=0.980199 t=20166
gang 	港	c=1 d=0.0972957 t=20166
gang cai 	剛纔	c=4 d=0.00392653 t=20166
gang gang 	剛剛	c=6 d=0.0141223 t=20166
gang guo 	剛果	c=1 d=0.000401622 t=20166
gang hai xiang 	剛還想	c=1 d=3.4508e-13 t=20166
gang hao 	剛好	c=1 d=2.83992e-15 t=20166
gang lai 	剛來	c=1 d=1.08751e-24 t=20166
gang lai de shi hou 	剛來的時候	c=1 d=1.65209e-24 t=20166
gang wei 	崗位	c=1 d=2.29246e-25 t=20166
gang xin 	鋼芯	c=1 d=0.00869506 t=20166
gang zhun que 	剛準確	c=1 d=1.18652e-12 t=20166
gao 	搞	c=18 d=0.00789256 t=20166
gao 	高	c=7 d=0.0145609 t=20166
gao cheng 	搞成	c=2 d=1.3821e-13 t=20166
gao dao 	搞到	c=2 d=0.00180897 t=20166
gao de 	搞得	c=1 d=5.02182e-12 t=20166
gao de 	高的	c=1 d=1.71718e-09 t=20166
gao de bu cuo 	搞得不錯	c=1 d=4.08177e-18 t=20166
gao de hen 	高的很	c=1 d=1.72578e-08 t=20166
gao de ying 	搞得贏	c=1 d=3.30693e-12 t=20166
gao ding 	搞定	c=1 d=1.55002e-09 t=20166
gao du 	高度	c=1 d=6.72513e-10 t=20166
gao dui xiang 	搞對象	c=1 d=1.19019e-19 t=20166
gao ge 	搞個	c=1 d=0.00673795 t=20166
gao hao 	搞好	c=1 d=1.26861e-05 t=20166
gao hun 	搞混	c=1 d=2.93598e-24 t=20166
gao ji 	告急	c=1 d=4.82155e-07 t=20166
gao ji 	高級	c=9 d=0.98725 t=20166
gao ji yong fa 	高級用法	c=1 d=6.70777e-09 t=20166
gao jing 	告警	c=17 d=0.88692 t=20166
gao ke yong 	高可用	c=3 d=6.09728e-26 t=20166
gao le ge 	搞了個	c=1 d=7.375e-07 t=20166
gao qing chu 	搞清楚	c=3 d=0.000218573 t=20166
gao qing shang 	高情商	c=1 d=0.00105946 t=20166
gao shang 	搞上	c=1 d=5.5175e-05 t=20166
gao sheng 	高盛	c=1 d=6.43796e-26 t=20166
gao shou 	高手	c=1 d=1.02354e-09 t=20166
gao shua 	搞耍	c=1 d=5.25288e-15 t=20166
gao su 	告訴	c=1 d=0.308819 t=20166
gao wan 	搞完	c=2 d=2.77414e-05 t=20166
gao xia lai 	搞下來	c=1 d=2.39553e-13 t=20166
gao xiao 	高效	c=1 d=1.60468e-05 t=20166
gao xin 	高新	c=0 d=5.39044e-26 t=20166
gao xin nan 	高新南	c=2 d=7.54346e-08 t=20166
gao yan jiu 	搞研究	c=1 d=4.53444e-20 t=20166
gao yi ge 	搞一個	c=2 d=1.92678e-10 t=20166
gao zai 	搞在	c=0 d=3.19482e-19 t=20166
gao zai yi qi 	搞在一起	c=1 d=3.21084e-18 t=20166
gao zhe ge 	搞這個	c=1 d=8.10006e-22 t=20166
gao zhong 	高中	c=1 d=4.19094e-05 t=20166
ge 	個	c=33 d=0.466529 t=20166
ge 	各	c=2 d=2.74038e-07 t=20166
ge 	哥	c=4 d=4.45161e-09 t=20166
ge 	擱	c=0 d=2.26734e-14 t=20166
ge an 	個案	c=0 d=1.16563e-10 t=20166
ge bi 	戈壁	c=3 d=1.35756 t=20166
ge dai 	隔代	c=1 d=4.91628e-30 t=20166
ge ge 	各個	c=10 d=0.923772 t=20166
ge jin 	個金	c=1 d=2.80823e-30 t=20166
ge ju 	割據	c=1 d=3.44013e-07 t=20166
ge le 	格勒	c=1 d=3.12996e-12 t=20166
ge li 	隔離	c=1 d=2.32229e-30 t=20166
ge men 	哥們	c=1 d=3.5449e-06 t=20166
ge men er 	哥們兒	c=5 d=0.0034898 t=20166
ge ming 	革命	c=1 d=3.7087e-08 t=20166
ge na er 	擱哪兒	c=2 d=9.26136e-10 t=20166
ge ren 	個人	c=2 d=0.00218749 t=20166
ge ren xin xi 	個人信息	c=1 d=2.73889e-30 t=20166
ge shi 	格式	c=7 d=1.29185e-08 t=20166
ge shi hua 	格式化	c=1 d=1.24561e-25 t=20166
ge wei 	各位	c=3 d=0.000784903 t=20166
ge xiao shi 	個小時	c=1 d=9.83405e-10 t=20166
ge xiao zu 	各小組	c=1 d=2.967e-30 t=20166
ge ylem 	個ylem	c=1 d=0.045275 t=20166
ge zhe 	歌者	c=1 d=1.96263e-21 t=20166
ge zhong 	各種	c=2 d=0.0910085 t=20166
gei 	給	c=28 d=0.0868694 t=20166
gei ce shi 	給測試	c=1 d=1.46428e-16 t=20166
gei chu 	給出	c=1 d=5.6865e-07 t=20166
gei de 	給的	c=4 d=6.34664e-05 t=20166
gei dian 	給點	c=0 d=0.00182243 t=20166
gei dian yi jian 	給點意見	c=1 d=0.0183156 t=20166
gei ni 	給你	c=5 d=0.00729913 t=20166
gei ni dian 	給你點	c=1 d=2.84805e-19 t=20166
gei ni dian yi ge 	給你點一個	c=1 d=7.89873e-20 t=20166
gei ni duo shao qian 	給你多少錢	c=1 d=2.36228e-25 t=20166
gei ni kan kan 	給你看看	c=1 d=3.50236e-11 t=20166
gei ni shuo 	給你說	c=1 d=0.0234005 t=20166
gei ren 	給人	c=2 d=0.0761538 t=20166
gei ta 	給她	c=2 d=0.00179994 t=20166
gei ta men 	給他們	c=2 d=3.90233e-11 t=20166
gei wo 	給我	c=3 d=0.0184074 t=20166
gei wo da gong 	給我打工	c=1 d=1.90891e-18 t=20166
gei wo de 	給我的	c=2 d=0.00830499 t=20166
gei yi ban 	給一版	c=1 d=1.31649e-29 t=20166
gen 	跟	c=13 d=0.0265164 t=20166
gen ben 	根本	c=1 d=1.63371e-10 t=20166
gen bu shang 	跟不上	c=1 d=8.10998e-07 t=20166
gen ju 	根據	c=4 d=1.62921e-11 t=20166
gen ni dui 	跟你對	c=1 d=1.87563e-17 t=20166
gen ni shuo 	跟你說	c=1 d=2.26965e-25 t=20166
gen ni zai 	跟你在	c=1 d=2.03815e-24 t=20166
gen ta 	跟他	c=2 d=2.63427e-13 t=20166
gen ta men 	跟他們	c=1 d=2.97833e-16 t=20166
gen wo men 	跟我們	c=1 d=2.27831e-11 t=20166
gen yuan 	根源	c=1 d=6.02768e-16 t=20166
gen zong 	跟蹤	c=1 d=0.0526021 t=20166
geng 	更	c=22 d=0.00876172 t=20166
geng 	梗	c=1 d=0.20089 t=20166
geng duo 	更多	c=1 d=1.98371e-29 t=20166
geng duo de 	更多的	c=2 d=0.562705 t=20166
geng gao 	更高	c=1 d=7.51095e-16 t=20166
geng hao 	更好	c=1 d=6.26493e-29 t=20166
geng jia 	更加	c=1 d=6.19099e-07 t=20166
geng xiang 	更像	c=1 d=5.29959e-05 t=20166
geng xiang shi 	更像是	c=1 d=0.000520875 t=20166
geng xin 	更新	c=3 d=0.0177065 t=20166
geng you 	更有	c=0 d=2.1814e-30 t=20166
geng you hao 	更有好	c=1 d=2.19234e-29 t=20166
gong 	工	c=3 d=6.7904e-06 t=20166
gong cheng 	工程	c=1 d=0.00228818 t=20166
gong fu 	功夫	c=1 d=1.05543e-17 t=20166
gong gong 	公公	c=1 d=2.00576e-12 t=20166
gong gong 	公共	c=3 d=0.000220415 t=20166
gong ju 	工具	c=23 d=0.226543 t=20166
gong ju bao 	工具包	c=1 d=4.27183e-24 t=20166
gong ju ma 	工具嗎	c=1 d=6.56355e-18 t=20166
gong li 	公曆	c=2 d=0.00118689 t=20166
gong li nong li 	公曆農歷	c=1 d=0.000393669 t=20166
gong neng 	功能	c=16 d=0.143148 t=20166
gong neng shang 	功能上	c=1 d=0.00442715 t=20166
gong shi 	公式	c=6 d=2.25488e-07 t=20166
gong si 	公司	c=21 d=1.001 t=20166
gong si de 	公司的	c=1 d=6.5839e-25 t=20166
gong tong 	共同	c=2 d=5.71501e-07 t=20166
gong xi 	共析	c=1 d=1.95723e-18 t=20166
gong xi 	恭喜	c=1 d=1.96704e-18 t=20166
gong xiang 	共享	c=1 d=7.90007e-22 t=20166
gong you 	公有	c=0 d=3.55953e-26 t=20166
gong you yun 	公有雲	c=1 d=3.57737e-25 t=20166
gong yu 	公寓	c=5 d=5.14943e-24 t=20166
gong zhong hao 	公眾號	c=1 d=1.01843e-09 t=20166
gong zi 	工資	c=0 d=4.49238e-29 t=20166
gong zi tiao 	工資條	c=1 d=4.5149e-28 t=20166
gong zu fang 	公租房	c=1 d=6.6169e-25 t=20166
gong zuo 	工作	c=9 d=0.256859 t=20166
gong zuo liu 	工作流	c=3 d=0.101251 t=20166
gou 	夠	c=2 d=3.8924e-07 t=20166
gou ba 	勾八	c=1 d=1.10897e-11 t=20166
gou cheng 	構成	c=1 d=1.523e-08 t=20166
gou gou 	勾勾	c=1 d=0.0105928 t=20166
gou gou hua hua 	勾勾畫畫	c=1 d=0.106459 t=20166
gou jian 	構建	c=1 d=1.27649e-19 t=20166
gou le de hua 	夠了的話	c=1 d=3.62649e-09 t=20166
gou mai 	購買	c=5 d=0.0431283 t=20166
gou shang 	勾上	c=1 d=0.0156076 t=20166
gou tong 	溝通	c=6 d=1.29474e-12 t=20166
gou tong sha zi 	溝通傻子	c=1 d=1.18345e-11 t=20166
gu 	古	c=1 d=6.57718e-13 t=20166
gu dao 	孤島	c=2 d=1.78845 t=20166
gu ge 	谷歌	c=1 d=1.08159e-11 t=20166
gu ji 	估計	c=11 d=3.02555e-06 t=20166
gu ji 	故及	c=1 d=7.01151e-30 t=20166
gu shi 	故事	c=1 d=4.71628e-12 t=20166
gu suan 	估算	c=1 d=6.38171e-11 t=20166
gu zhang 	故障	c=3 d=0.00216573 t=20166
gua 	掛	c=1 d=5.13382e-10 t=20166
guai bu de 	怪不得	c=2 d=3.07593e-13 t=20166
guai dian 	拐點	c=6 d=3.24992e-11 t=20166
guai guai 	乖乖	c=1 d=5.64353e-06 t=20166
guai guai de 	怪怪的	c=1 d=2.30835e-18 t=20166
guan 	管	c=2 d=2.68055e-12 t=20166
guan 	關	c=3 d=0.0237541 t=20166
guan 	館	c=1 d=4.95809e-12 t=20166
guan cha 	觀察	c=1 d=1.2616e-28 t=20166
guan cha zhe 	觀察者	c=2 d=0.00247114 t=20166
guan de 	灌得	c=0 d=1.82491e-19 t=20166
guan dian 	觀點	c=3 d=1.87372e-05 t=20166
guan diao 	關掉	c=1 d=7.42712e-31 t=20166
guan fang 	官方	c=1 d=0.489192 t=20166
guan fang wang 	官方網	c=1 d=3.92786e-07 t=20166
guan guang 	觀光	c=1 d=2.82624e-17 t=20166
guan jian 	關鍵	c=4 d=7.64701e-14 t=20166
guan jian zi 	關鍵字	c=3 d=0.26982 t=20166
guan li 	慣例	c=1 d=3.58541e-22 t=20166
guan li 	管理	c=19 d=0.108952 t=20166
guan li ping tai 	管理平臺	c=1 d=2.1672e-11 t=20166
guan li qi 	管理器	c=1 d=0.00535353 t=20166
guan lian 	關聯	c=4 d=3.11024e-05 t=20166
guan lian qi lai 	關聯起來	c=1 d=2.66718e-12 t=20166
guan tou 	罐頭	c=4 d=2.12919e-08 t=20166
guan wang 	官網	c=1 d=3.20146e-13 t=20166
guan wo 	观我	c=1 d=1.3408e-09 t=20166
guan xi 	關係	c=27 d=0.0144798 t=20166
guan yu 	關於	c=12 d=0.285612 t=20166
guan zhou 	官洲	c=1 d=2.4146e-18 t=20166
guan zhu 	關注	c=2 d=1.25015e-09 t=20166
guang 	光	c=1 d=2.59461e-11 t=20166
guang fan 	廣泛	c=2 d=0.0596059 t=20166
guang gao 	廣告	c=1 d=1.45222e-07 t=20166
guang yun 	光雲	c=1 d=2.04837e-24 t=20166
guang zhou 	廣州	c=1 d=2.4267e-18 t=20166
gui 	桂	c=1 d=4.42941e-09 t=20166
gui cai 	鬼才	c=0 d=2.12025e-19 t=20166
gui fan 	規範	c=4 d=3.55408e-07 t=20166
gui fan hua 	規範化	c=1 d=7.20148e-21 t=20166
gui hua 	規劃	c=39 d=0.0750215 t=20166
gui hua qian 	規劃前	c=1 d=8.82318e-28 t=20166
gui hui 	歸回	c=1 d=9.02962e-06 t=20166
gui lv 	規律	c=0 d=0.0302704 t=20166
gui ma 	貴嗎	c=1 d=4.52504e-25 t=20166
gui ze 	規則	c=6 d=2.39908e-05 t=20166
guo 	果	c=1 d=1.79621e-08 t=20166
guo 	過	c=10 d=0.00219042 t=20166
guo 	郭	c=0 d=0.00169075 t=20166
guo chan 	國產	c=1 d=1.42269e-30 t=20166
guo cheng 	過程	c=15 d=0.711792 t=20166
guo cheng zhong 	過程中	c=2 d=0.763379 t=20166
guo de shi qing 	過的事情	c=1 d=4.70651e-17 t=20166
guo gao 	過高	c=1 d=4.99499e-11 t=20166
guo ge 	國哥	c=1 d=1.74853e-15 t=20166
guo hui er 	過會兒	c=1 d=4.09025e-13 t=20166
guo ji hua 	國際化	c=1 d=1.6998e-06 t=20166
guo jia 	國家	c=4 d=1.13618 t=20166
guo jiang 	過獎	c=0 d=1.34982e-30 t=20166
guo lao shi 	郭老師	c=3 d=0.0783488 t=20166
guo le 	過了	c=1 d=1.32403e-09 t=20166
guo le zhi hou 	過了之後	c=1 d=1.31582e-23 t=20166
guo lv 	過濾	c=4 d=0.00700833 t=20166
guo lv qi 	過濾器	c=1 d=3.5651e-14 t=20166
guo mi 	國密	c=2 d=5.34085e-30 t=20166
guo mi 	國米	c=1 d=1.90133e-30 t=20166
guo qi 	過期	c=1 d=2.87932e-30 t=20166
guo qu 	過去	c=5 d=2.37703e-10 t=20166
guo ran 	果然	c=3 d=0.0381969 t=20166
guo sheng 	過剩	c=1 d=1.02849e-07 t=20166
guo yi ha 	過一哈	c=1 d=5.6047e-13 t=20166
guo yu 	過於	c=1 d=1.88696e-29 t=20166
ha 	哈	c=9 d=0.211022 t=20166
ha 	蛤	c=1 d=1.73231e-23 t=20166
ha ha 	哈哈	c=5 d=0.00359725 t=20166
ha ha ang 	哈哈昂	c=1 d=0.0361528 t=20166
ha ha ha 	哈哈哈	c=13 d=0.0347353 t=20166
ha ha ha ha 	哈哈哈哈	c=3 d=3.0377e-06 t=20166
ha ha ha ha ha 	哈哈哈哈哈	c=1 d=7.71445e-07 t=20166
ha ha ha ha hh ang 	哈哈哈哈哈哈昂	c=1 d=7.99196e-11 t=20166
ha ha ha hh ang 	哈哈哈哈哈昂	c=1 d=2.15046e-08 t=20166
ha ha ha hh ang ang ang 	哈哈哈哈哈昂昂昂	c=1 d=8.32378e-19 t=20166
ha hh ang ang 	哈哈哈昂昂	c=1 d=1.41002e-13 t=20166
ha mi gua 	哈密瓜	c=1 d=7.41954e-19 t=20166
hai 	嗨	c=1 d=1.98303e-25 t=20166
hai 	害	c=3 d=0.115325 t=20166
hai 	還	c=28 d=1.18106 t=20166
hai ba ta 	還把他	c=1 d=3.3269e-24 t=20166
hai bo 	海波	c=2 d=5.45722e-10 t=20166
hai bu cuo 	還不錯	c=2 d=6.94906e-13 t=20166
hai bu cuo de hua 	還不錯的話	c=1 d=3.69334e-18 t=20166
hai bu ru 	還不如	c=2 d=0.173851 t=20166
hai bu shi 	還不是	c=1 d=1.78325e-11 t=20166
hai bu shuang 	還不爽	c=1 d=1.10743e-24 t=20166
hai bu tai 	還不太	c=1 d=1.23729e-05 t=20166
hai bu xia ban 	還不下班	c=1 d=1.33316e-30 t=20166
hai bu zhi dao 	還不知道	c=1 d=1.03954e-15 t=20166
hai dei 	還得	c=0 d=4.67826e-06 t=20166
hai dei qu dao 	還得去到	c=1 d=6.87991e-13 t=20166
hai hao 	還好	c=2 d=0.00225339 t=20166
hai hui 	還會	c=4 d=2.29325e-07 t=20166
hai kan jian yi ge 	還看見一個	c=1 d=7.45673e-19 t=20166
hai ke yi 	還可以	c=2 d=0.00357068 t=20166
hai ke yi o 	還可以哦	c=1 d=6.37174e-22 t=20166
hai mei 	還沒	c=10 d=1.14571 t=20166
hai mei ni hao 	還沒你好	c=1 d=4.36941e-25 t=20166
hai mei you 	還沒有	c=2 d=1.26978e-08 t=20166
hai mei yu dao 	還沒遇到	c=1 d=1.68633e-30 t=20166
hai pa 	害怕	c=2 d=4.14995e-07 t=20166
hai shi 	還是	c=63 d=0.0840977 t=20166
hai shi bu gou 	還是不夠	c=1 d=6.05274e-06 t=20166
hai shi bu xing 	還是不行	c=2 d=1.28526e-08 t=20166
hai shi guan de 	還是灌得	c=1 d=1.83406e-18 t=20166
hai shi shuo 	還是說	c=1 d=8.51681e-24 t=20166
hai shi wo 	還是我	c=1 d=2.91687e-06 t=20166
hai shi xi huan 	還是喜歡	c=1 d=2.74084e-09 t=20166
hai shi you wu cha 	還是有誤差	c=1 d=9.52688e-19 t=20166
hai shui 	还睡	c=1 d=5.5739e-07 t=20166
hai shuo 	還說	c=0 d=4.73912e-11 t=20166
hai shuo ta 	還說他	c=1 d=3.71059e-14 t=20166
hai shuo wo 	還說我	c=1 d=0.644036 t=20166
hai ti hui 	還體會	c=1 d=0.97531 t=20166
hai ting 	還挺	c=2 d=0.494109 t=20166
hai ting fang bian 	還挺方便	c=1 d=3.58602e-24 t=20166
hai wai 	海外	c=3 d=1.65783e-06 t=20166
hai xiang 	還想	c=2 d=2.68566e-05 t=20166
hai xiang zhe 	還想着	c=1 d=2.51485e-26 t=20166
hai xing 	還行	c=4 d=8.03787e-08 t=20166
hai xu yao 	還需要	c=2 d=1.35381e-05 t=20166
hai yao 	還要	c=3 d=0.00184551 t=20166
hai yi wei 	還以爲	c=1 d=1.52378e-14 t=20166
hai yong 	還用	c=1 d=8.32662e-23 t=20166
hai you 	還有	c=22 d=0.0377163 t=20166
hai you dian 	還有點	c=2 d=1.60337e-17 t=20166
hai you ge 	還有個	c=1 d=5.40825e-05 t=20166
hai you sha 	還有啥	c=1 d=3.53996e-19 t=20166
hai you shi jian 	還有時間	c=1 d=8.05967e-22 t=20166
hai you xie 	還有些	c=1 d=2.63015e-24 t=20166
hai zai 	還在	c=4 d=0.0170774 t=20166
hai zi 	孩子	c=0 d=2.34842e-45 t=20166
han gai 	涵蓋	c=0 d=3.67868e-31 t=20166
han gai mian 	涵蓋麪	c=1 d=3.69712e-30 t=20166
han lei 	喊累	c=1 d=1.82491e-18 t=20166
han liang 	含量	c=1 d=2.50494e-09 t=20166
han qi 	寒氣	c=2 d=7.39283e-06 t=20166
han shu 	函數	c=6 d=0.00243088 t=20166
han yi 	含義	c=4 d=0.000141906 t=20166
han yi le 	含義了	c=1 d=9.31095e-14 t=20166
hang hai 	航海	c=1 d=0.318224 t=20166
hang shi 	夯實	c=2 d=0.00216573 t=20166
hang ye 	行業	c=1 d=1.01456e-23 t=20166
hang zhou 	杭州	c=3 d=6.78095e-19 t=20166
hao 	好	c=40 d=0.708383 t=20166
hao 	毫	c=2 d=7.46272e-19 t=20166
hao 	號	c=5 d=0.951229 t=20166
hao ban 	好辦	c=1 d=2.95431e-09 t=20166
hao ban le 	好辦了	c=1 d=3.34131e-16 t=20166
hao bei 	好被	c=1 d=0.000223746 t=20166
hao bi 	好比	c=0 d=1.41637e-08 t=20166
hao bi ji ben 	好比基本	c=1 d=1.42347e-07 t=20166
hao bu hao qu 	好不好去	c=1 d=0.0417941 t=20166
hao cheng 	號稱	c=1 d=0.00657159 t=20166
hao chi 	好喫	c=1 d=0.263158 t=20166
hao chu 	好處	c=1 d=6.99839e-08 t=20166
hao de 	好的	c=14 d=0.113608 t=20166
hao de ban fa 	好的辦法	c=1 d=0.110803 t=20166
hao di 	好滴	c=2 d=2.90934e-05 t=20166
hao duo 	好多	c=7 d=3.07191e-08 t=20166
hao duo ge 	好多個	c=0 d=1.01878e-14 t=20166
hao duo ge di fang 	好多個地方	c=1 d=1.02389e-13 t=20166
hao duo qian 	好多錢	c=1 d=4.2947e-28 t=20166
hao duo ren 	好多人	c=4 d=0.0134439 t=20166
hao hao 	好好	c=0 d=3.13913e-18 t=20166
hao he 	毫核	c=1 d=3.87334e-19 t=20166
hao ji kuai 	好幾塊	c=1 d=2.55598e-11 t=20166
hao jia huo 	好傢伙	c=1 d=5.08967e-26 t=20166
hao jiu 	好久	c=3 d=0.0235177 t=20166
hao kan 	好看	c=1 d=5.65814e-07 t=20166
hao le 	好了	c=6 d=0.00027848 t=20166
hao lei 	好類	c=1 d=0.951229 t=20166
hao li jie 	好理解	c=2 d=1.99956e-05 t=20166
hao ling 	號令	c=1 d=6.63989e-07 t=20166
hao miao 	毫秒	c=1 d=6.67658e-13 t=20166
hao ming xian 	好明顯	c=1 d=0.000201444 t=20166
hao qu 	好去	c=0 d=0.00415857 t=20166
hao shi 	好使	c=1 d=7.54898e-27 t=20166
hao shi duo mo 	好事多磨	c=1 d=3.49569e-18 t=20166
hao shu 	好書	c=1 d=0.0963276 t=20166
hao tian 	好甜	c=1 d=0.369723 t=20166
hao xian 	號線	c=2 d=1.43135e-24 t=20166
hao xiang 	好像	c=63 d=0.896357 t=20166
hao xiang shi 	好像是	c=2 d=1.00838e-07 t=20166
hao xiang you yi ge 	好像有一個	c=1 d=7.35721e-08 t=20166
hao xiao 	好小	c=1 d=6.44016e-30 t=20166
hao xie 	好些	c=1 d=0.000584356 t=20166
hao yi hui 	好一會	c=1 d=9.4713e-09 t=20166
hao yong 	好用	c=4 d=6.28639e-10 t=20166
hao zai 	好在	c=2 d=0.279557 t=20166
hao zhu yi 	好主意	c=1 d=1.37638e-23 t=20166
hao zuo 	好做	c=1 d=3.48311e-05 t=20166
he 	何	c=1 d=5.59119e-14 t=20166
he 	合	c=2 d=0.472367 t=20166
he 	和	c=182 d=3.18799 t=20166
he 	喝	c=2 d=0.0655462 t=20166
he 	核	c=5 d=8.69575e-11 t=20166
he 	鶴	c=3 d=0.099005 t=20166
he bie ren 	和別人	c=1 d=0.000218221 t=20166
he bing 	合併	c=5 d=7.18689e-14 t=20166
he bu he 	合不合	c=0 d=1.05088e-26 t=20166
he bu he li 	合不合理	c=1 d=1.05615e-25 t=20166
he dao 	合到	c=1 d=1.3895e-17 t=20166
he de 	喝的	c=1 d=4.74073e-14 t=20166
he ge 	喝個	c=1 d=4.2756e-05 t=20166
he gui 	合規	c=2 d=1.67449e-06 t=20166
he guo 	喝過	c=1 d=2.55555e-09 t=20166
he huo ren 	合伙人	c=1 d=0.00147367 t=20166
he ji 	合集	c=1 d=0.00285124 t=20166
he li 	合理	c=5 d=1.4773e-12 t=20166
he sha 	和啥	c=1 d=2.08187e-09 t=20166
he shang 	喝上	c=0 d=7.74232e-21 t=20166
he shang le 	喝上了	c=1 d=7.78113e-20 t=20166
he shi 	何時	c=5 d=1.82356e-12 t=20166
he shi 	合適	c=2 d=0.00196945 t=20166
he shu 	核數	c=6 d=8.45599e-20 t=20166
he suan 	核酸	c=3 d=2.10279e-09 t=20166
he ta man 	和他滿	c=1 d=2.04099e-11 t=20166
he ti lian 	和提煉	c=1 d=8.97055e-17 t=20166
he tie zi 	和帖子	c=1 d=0.00065886 t=20166
he wo 	和我	c=2 d=0.0174224 t=20166
he wo jia 	和我家	c=1 d=1.1126e-20 t=20166
he wo men 	和我們	c=2 d=0.000438746 t=20166
he wo na shi hou 	和我那時候	c=1 d=4.51735e-05 t=20166
he xin 	核心	c=6 d=5.23018e-06 t=20166
he yi bei 	喝一杯	c=1 d=0.0639279 t=20166
he yi qian 	和以前	c=1 d=4.21553e-15 t=20166
he zhi qian 	和之前	c=1 d=6.03178e-24 t=20166
he zi 	盒子	c=3 d=0.082085 t=20166
he zu 	合租	c=4 d=6.50434e-24 t=20166
he zuo 	合作	c=1 d=2.13493e-11 t=20166
hei 	黑	c=0 d=3.42414e-11 t=20166
hei ti xu 	黑體恤	c=1 d=3.44131e-10 t=20166
hei yi fu 	黑衣服	c=1 d=3.42414e-10 t=20166
hen 	很	c=5 d=0.018335 t=20166
hen an jing 	很安靜	c=1 d=0.158025 t=20166
hen da 	很大	c=0 d=3.24763e-06 t=20166
hen da de cha ju 	很大的差距	c=1 d=3.26391e-05 t=20166
hen duo 	很多	c=17 d=0.483059 t=20166
hen duo di fang 	很多地方	c=1 d=5.91234e-24 t=20166
hen duo zhong 	很多種	c=1 d=1.13666e-07 t=20166
hen fang bian 	很方便	c=0 d=2.71819e-30 t=20166
hen fang bian de 	很方便的	c=1 d=2.73182e-29 t=20166
hen gao 	很高	c=2 d=0.00065886 t=20166
hen gui 	很貴	c=1 d=0.0133665 t=20166
hen hao 	很好	c=3 d=6.12939e-07 t=20166
hen jian dan 	很簡單	c=3 d=2.39278e-08 t=20166
hen jiu le 	很久了	c=0 d=4.95725e-11 t=20166
hen jiu le ma 	很久了嗎	c=1 d=4.9821e-10 t=20166
